optim,n_functions,time,n_relations,size_max
3,22,38.06368327140808,15,10
0,23,46.82361817359924,15,10
1,23,45.05127549171448,15,10
2,23,43.819427251815796,15,10
3,23,43.95200777053833,15,10
0,24,47.90288496017456,15,10
1,24,48.485987186431885,15,10
2,24,48.76794910430908,15,10
3,24,47.690003395080566,15,10
0,25,60.92993211746216,15,10
1,25,60.46622347831726,15,10
2,25,60.01511740684509,15,10
3,25,59.83068895339966,15,10
0,26,75.19694519042969,15,10
1,26,75.31579971313477,15,10
2,26,75.34629583358765,15,10
3,26,59.46469497680664,15,10
0,27,81.47116208076477,15,10
1,27,81.58108592033386,15,10
2,27,80.530100107193,15,10
3,27,64.81836771965027,15,10
0,28,82.2192747592926,15,10
1,28,82.14882802963257,15,10
2,28,81.35478615760803,15,10
3,28,64.74728083610535,15,10
0,29,100.65404009819031,15,10
1,29,100.74770784378052,15,10
2,29,99.56036305427551,15,10
3,29,78.21220302581787,15,10
0,30,114.45143747329712,15,10
1,30,114.55708336830139,15,10
2,30,113.66703987121582,15,10
3,30,90.84085297584534,15,10
0,31,115.02018189430237,15,10
1,31,115.21821117401123,15,10
2,31,114.96389150619507,15,10
3,31,91.98592638969421,15,10
0,32,120.85528469085693,15,10
1,32,117.00408291816711,15,10
2,32,117.23271656036377,15,10
3,32,93.5926947593689,15,10
0,33,123.54932284355164,15,10
1,33,123.10133457183838,15,10
2,33,122.4549195766449,15,10
3,33,100.36529111862183,15,10
0,34,133.18403124809265,15,10
1,34,131.53356742858887,15,10
2,34,131.18694877624512,15,10
3,34,104.67344498634338,15,10
0,35,146.2095320224762,15,10
1,35,146.56456398963928,15,10
2,35,146.6657567024231,15,10
3,35,118.88060712814331,15,10
0,1,0.07285165786743164,5,10
1,1,0.07752585411071777,5,10
2,1,0.08538174629211426,5,10
3,1,0.07915401458740234,5,10
0,2,0.1355276107788086,5,10
1,2,0.13376641273498535,5,10
2,2,0.15421009063720703,5,10
3,2,0.16610431671142578,5,10
0,3,0.1527879238128662,5,10
1,3,0.14736151695251465,5,10
2,3,0.15967106819152832,5,10
3,3,0.19118595123291016,5,10
0,4,0.2674522399902344,5,10
1,4,0.24010872840881348,5,10
2,4,0.25078797340393066,5,10
3,4,0.3161647319793701,5,10
0,5,0.7637710571289062,5,10
1,5,0.706679105758667,5,10
2,5,0.7435328960418701,5,10
3,5,0.9241771697998047,5,10
0,6,0.9414408206939697,5,10
1,6,1.0652508735656738,5,10
2,6,1.1411116123199463,5,10
3,6,0.9873373508453369,5,10
0,7,1.499227523803711,5,10
1,7,1.4968149662017822,5,10
2,7,1.28810715675354,5,10
3,7,1.1442415714263916,5,10
0,8,1.8349542617797852,5,10
1,8,1.8341162204742432,5,10
2,8,1.3409061431884766,5,10
3,8,1.230046272277832,5,10
0,9,2.1809451580047607,5,10
1,9,2.203331708908081,5,10
2,9,1.6000876426696777,5,10
3,9,1.4848029613494873,5,10
0,10,4.436164140701294,5,10
1,10,4.9334917068481445,5,10
2,10,3.7672581672668457,5,10
3,10,2.8697526454925537,5,10
0,11,7.779739141464233,5,10
1,11,7.524962425231934,5,10
2,11,6.4956371784210205,5,10
3,11,5.0488386154174805,5,10
0,12,11.984965324401855,5,10
1,12,11.883642435073853,5,10
2,12,8.587036371231079,5,10
3,12,9.763342142105103,5,10
0,13,13.057830572128296,5,10
1,13,13.27991771697998,5,10
2,13,9.227486610412598,5,10
3,13,10.637104272842407,5,10
0,14,20.71914839744568,5,10
1,14,20.81544518470764,5,10
2,14,18.346662521362305,5,10
3,14,16.25151252746582,5,10
0,15,35.26579427719116,5,10
1,15,35.29291605949402,5,10
2,15,32.00463104248047,5,10
3,15,28.125732421875,5,10
0,16,46.991108894348145,5,10
1,16,45.896910429000854,5,10
2,16,32.86943578720093,5,10
3,16,35.793156147003174,5,10
0,17,49.76514935493469,5,10
1,17,49.90704131126404,5,10
2,17,35.93514442443848,5,10
3,17,38.655532121658325,5,10
0,18,52.999749422073364,5,10
1,18,52.76423525810242,5,10
2,18,37.743154525756836,5,10
3,18,41.25167226791382,5,10
0,19,76.17066359519958,5,10
1,19,78.0082380771637,5,10
2,19,66.59621596336365,5,10
3,19,60.061909914016724,5,10
0,20,78.5903651714325,5,10
1,20,78.38881778717041,5,10
2,20,68.60622549057007,5,10
3,20,60.99194812774658,5,10
0,21,110.15591764450073,5,10
1,21,109.93565726280212,5,10
2,21,79.77955150604248,5,10
3,21,88.63900089263916,5,10
0,22,138.6752610206604,5,10
1,22,132.82938051223755,5,10
2,22,94.75372529029846,5,10
3,22,101.45289921760559,5,10
0,23,138.9457130432129,5,10
1,23,138.19069576263428,5,10
2,23,100.61085081100464,5,10
3,23,106.77541708946228,5,10
0,24,151.31950664520264,5,10
1,24,151.09491634368896,5,10
2,24,107.83865141868591,5,10
3,24,115.5083270072937,5,10
0,25,195.7823088169098,5,10
1,25,195.9731502532959,5,10
2,25,140.29614520072937,5,10
3,25,150.97309970855713,5,10
0,26,198.8601415157318,5,10
1,26,199.55776166915894,5,10
2,26,140.9153401851654,5,10
3,26,153.30963325500488,5,10
0,27,272.7808406352997,5,10
1,27,269.25949263572693,5,10
2,27,239.77913641929626,5,10
3,27,176.61484909057617,5,10
0,28,301.83917355537415,5,10
1,28,301.29979705810547,5,10
2,28,268.3954071998596,5,10
3,28,197.2868514060974,5,10
0,29,344.46216559410095,5,10
1,29,346.3886299133301,5,10
2,29,312.54259967803955,5,10
3,29,237.0256049633026,5,10
0,30,391.06399512290955,5,10
1,30,360.6420292854309,5,10
2,30,339.8335015773773,5,10
3,30,242.72707676887512,5,10
0,31,406.0098569393158,5,10
1,31,404.1934857368469,5,10
2,31,308.62619519233704,5,10
3,31,263.50290536880493,5,10
0,32,434.504625082016,5,10
1,32,441.1666684150696,5,10
2,32,329.7484607696533,5,10
3,32,279.3001518249512,5,10
0,33,538.5374701023102,5,10
1,33,528.1127555370331,5,10
2,33,402.5605480670929,5,10
3,33,415.4593765735626,5,10
0,1,0.05818963050842285,10,10
1,1,0.06187725067138672,10,10
2,1,0.06222105026245117,10,10
3,1,0.0628972053527832,10,10
0,2,0.16616392135620117,10,10
1,2,0.16587471961975098,10,10
2,2,0.18692803382873535,10,10
3,2,0.16874408721923828,10,10
0,3,0.3351924419403076,10,10
1,3,0.3386542797088623,10,10
2,3,0.35245490074157715,10,10
3,3,0.34085583686828613,10,10
0,4,0.5390703678131104,10,10
1,4,0.5353269577026367,10,10
2,4,0.435513973236084,10,10
3,4,0.42810678482055664,10,10
0,5,0.8197095394134521,10,10
1,5,0.8008730411529541,10,10
2,5,0.8432126045227051,10,10
3,5,0.6700067520141602,10,10
0,6,1.263960838317871,10,10
1,6,1.292259693145752,10,10
2,6,1.0602455139160156,10,10
3,6,1.0602006912231445,10,10
0,7,1.943228006362915,10,10
1,7,2.0187838077545166,10,10
2,7,1.5722429752349854,10,10
3,7,1.6188490390777588,10,10
